CV_CB3_D4_-20C
Date/Time: 2/10/2017 1:15:34 PM
Sensor Name: CB3_D4
Type: N
Annealing Status: 0min
Environment: -20C
Tester: Dante + Soumya

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 3.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_Cp_freq2	LCR_Rp_freq1	LCR_Rp_freq2	Temperature	Air_Temp	Humidity	Dewpoint	
  690.0000	8.733E-12	9.067E-12	-9.432E+8	-3.047E+8	  -20.1027	    7.4340	    4.5044	  -30.8533	
  700.0000	8.837E-12	9.061E-12	-1.258E+9	-3.259E+8	  -20.1077	    7.4465	    4.5949	  -30.6369	
  710.0000	8.818E-12	9.057E-12	-1.455E+9	-2.990E+8	  -20.0890	    7.4102	    4.6515	  -30.5348	
  720.0000	8.702E-12	9.063E-12	-1.178E+9	-2.898E+8	  -20.1485	    7.4408	    4.6818	  -30.4448	
  730.0000	8.803E-12	9.065E-12	-2.373E+9	-2.858E+8	  -20.1584	    7.4994	    4.7132	  -30.3329	
  740.0000	8.887E-12	9.059E-12	-1.278E+9	-3.039E+8	  -20.1263	    7.4632	    4.7834	  -30.2038	
  750.0000	8.810E-12	9.064E-12	-1.525E+9	-5.169E+8	  -20.0264	    7.4501	    4.8178	  -30.1379	
  760.0000	8.828E-12	9.051E-12	-1.348E+9	-3.267E+8	  -19.9924	    7.4637	    4.8561	  -30.0449	
  770.0000	8.723E-12	9.056E-12	-8.834E+8	-2.962E+8	  -20.0199	    7.4205	    4.8770	  -30.0309	
  780.0000	8.829E-12	9.047E-12	-1.308E+9	-3.250E+8	  -20.1180	    7.4489	    4.8966	  -29.9682	
  790.0000	1.010E-11	9.061E-12	5.343E+8	-5.615E+8	  -20.1530	    7.4465	    4.9282	  -29.9022	
  800.0000	1.007E-11	9.183E-12	2.780E+9	4.299E+7	  -20.1408	    7.4786	    4.9339	  -29.8670	
  810.0000	9.999E-12	9.273E-12	6.228E+9	3.583E+7	  -20.1332	    7.4866	    4.9494	  -29.8282	
  820.0000	9.932E-12	9.421E-12	3.919E+9	3.384E+7	  -20.1080	    7.4864	    4.9399	  -29.8486	
  830.0000	9.906E-12	9.416E-12	-2.637E+9	3.198E+7	  -20.0748	    7.4724	    4.9260	  -29.8883	
  840.0000	1.003E-11	9.512E-12	4.118E+10	3.126E+7	  -20.0363	    7.4531	    4.9273	  -29.8996	
  850.0000	9.999E-12	9.586E-12	8.736E+9	2.957E+7	  -20.0680	    7.4449	    4.9323	  -29.8946	
  860.0000	9.970E-12	9.670E-12	1.206E+11	2.955E+7	  -20.0798	    7.4668	    4.9541	  -29.8324	
  870.0000	1.002E-11	9.739E-12	-4.406E+9	2.916E+7	  -20.1134	    7.4258	    4.9564	  -29.8572	
  880.0000	9.987E-12	9.836E-12	-2.551E+9	3.040E+7	  -20.2095	    7.4258	    4.9703	  -29.8276	
  890.0000	9.981E-12	9.964E-12	-2.910E+9	3.177E+7	  -20.1378	    7.4075	    4.9769	  -29.8268	
  900.0000	9.994E-12	1.007E-11	-3.687E+9	3.675E+7	  -20.0840	    7.3565	    4.9943	  -29.8268	
  910.0000	1.002E-11	1.012E-11	-2.171E+9	4.068E+7	  -20.0226	    7.3635	    4.9975	  -29.8151	
  920.0000	9.983E-12	1.015E-11	-1.814E+9	4.629E+7	  -20.0436	    7.3735	    4.9940	  -29.8152	
  930.0000	1.000E-11	1.017E-11	-3.247E+9	5.002E+7	  -20.0642	    7.4602	    4.9684	  -29.8069	
  940.0000	1.000E-11	1.018E-11	-1.497E+9	5.762E+7	  -20.1286	    7.4499	    4.9301	  -29.8957	
  950.0000	9.998E-12	1.018E-11	-1.626E+9	6.462E+7	  -20.1954	    7.4981	    4.9231	  -29.8759	
  960.0000	1.000E-11	1.018E-11	-1.534E+9	6.674E+7	  -20.1534	    7.4981	    4.9073	  -29.9098	
  970.0000	9.970E-12	1.019E-11	-1.964E+9	7.204E+7	  -20.0974	    7.4521	    4.8956	  -29.9680	
  980.0000	9.957E-12	1.019E-11	-2.443E+9	7.978E+7	  -20.0027	    7.4521	    4.8988	  -29.9612	
  990.0000	9.972E-12	1.020E-11	-1.747E+9	8.151E+7	  -20.0603	    7.4193	    4.9020	  -29.9780	
 1000.0000	9.989E-12	1.020E-11	-1.526E+9	8.695E+7	  -20.0882	    7.4193	    4.8849	  -30.0147	
